Name,Artist,Album,Genres,Popularity,Available,Explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,track_href,analysis_url,track_uri,artist_uri,album_uri
The House That Heaven Built,['Japandroids'],The House That Heaven Built,"['canadian indie', 'indie rock', 'modern alternative rock', 'modern rock', 'noise pop', 'noise rock', 'vancouver indie', 'vancouver punk']",13,True,False,0.322,0.985,0,-3.494,1,0.14,0.000522,0.00865,0.0964,0.0815,161.195,289150,4,audio_features,https://api.spotify.com/v1/tracks/3sz3L5lVnIClXXcz5WHvBi,https://api.spotify.com/v1/audio-analysis/3sz3L5lVnIClXXcz5WHvBi,spotify:track:3sz3L5lVnIClXXcz5WHvBi,['spotify:artist:2WcCoPxAWFNSCvsFPrpf30'],spotify:album:2PaNBkarp2v4h2GaMW6esl
Loose Change,['Royal Blood'],Royal Blood,"['alternative rock', 'brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']",55,True,False,0.478,0.79,1,-5.016,1,0.133,0.195,2.2e-05,0.326,0.538,84.545,155987,4,audio_features,https://api.spotify.com/v1/tracks/48wDtXGVFNZHANlDYTKMAW,https://api.spotify.com/v1/audio-analysis/48wDtXGVFNZHANlDYTKMAW,spotify:track:48wDtXGVFNZHANlDYTKMAW,['spotify:artist:2S5hlvw4CMtMGswFtfdK15'],spotify:album:0BFzNaeaNv4mahOzwZFGHK
Come on Over,['Royal Blood'],Royal Blood,"['alternative rock', 'brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']",53,True,False,0.505,0.906,7,-5.127,1,0.0399,0.000333,0.000127,0.29,0.553,107.855,173827,4,audio_features,https://api.spotify.com/v1/tracks/7qRmdDl9dnHkFT4MMboG7Y,https://api.spotify.com/v1/audio-analysis/7qRmdDl9dnHkFT4MMboG7Y,spotify:track:7qRmdDl9dnHkFT4MMboG7Y,['spotify:artist:2S5hlvw4CMtMGswFtfdK15'],spotify:album:0BFzNaeaNv4mahOzwZFGHK
Little Monster,['Royal Blood'],Royal Blood,"['alternative rock', 'brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']",59,True,False,0.454,0.882,5,-4.251,1,0.06,0.00122,0.00156,0.138,0.497,95.999,212310,4,audio_features,https://api.spotify.com/v1/tracks/5fpj84RsT9cOTfWUCxBTXu,https://api.spotify.com/v1/audio-analysis/5fpj84RsT9cOTfWUCxBTXu,spotify:track:5fpj84RsT9cOTfWUCxBTXu,['spotify:artist:2S5hlvw4CMtMGswFtfdK15'],spotify:album:0BFzNaeaNv4mahOzwZFGHK
Figure It Out,['Royal Blood'],Royal Blood,"['alternative rock', 'brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']",66,True,False,0.658,0.814,0,-4.631,1,0.0558,0.229,0.00676,0.216,0.69,108.016,183602,4,audio_features,https://api.spotify.com/v1/tracks/3MjrueDQKVr6xDDseZwhEd,https://api.spotify.com/v1/audio-analysis/3MjrueDQKVr6xDDseZwhEd,spotify:track:3MjrueDQKVr6xDDseZwhEd,['spotify:artist:2S5hlvw4CMtMGswFtfdK15'],spotify:album:0BFzNaeaNv4mahOzwZFGHK
Starlight,['Muse'],Black Holes and Revelations,"['modern rock', 'permanent wave', 'rock']",73,True,False,0.55,0.874,4,-4.046,1,0.0321,0.000436,1.02e-05,0.206,0.318,121.61,240213,4,audio_features,https://api.spotify.com/v1/tracks/3skn2lauGk7Dx6bVIt5DVj,https://api.spotify.com/v1/audio-analysis/3skn2lauGk7Dx6bVIt5DVj,spotify:track:3skn2lauGk7Dx6bVIt5DVj,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:0lw68yx3MhKflWFqCsGkIs
Assassin,['Muse'],Black Holes and Revelations,"['modern rock', 'permanent wave', 'rock']",55,True,False,0.351,0.961,7,-3.942,0,0.145,0.00133,0.00335,0.108,0.416,124.715,211133,4,audio_features,https://api.spotify.com/v1/tracks/6JnFVmPyJvjnfBag0hhIFa,https://api.spotify.com/v1/audio-analysis/6JnFVmPyJvjnfBag0hhIFa,spotify:track:6JnFVmPyJvjnfBag0hhIFa,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:0lw68yx3MhKflWFqCsGkIs
Map of the Problematique,['Muse'],Black Holes and Revelations,"['modern rock', 'permanent wave', 'rock']",58,True,False,0.493,0.959,8,-3.613,1,0.0414,0.000386,0.118,0.254,0.703,125.04,258066,4,audio_features,https://api.spotify.com/v1/tracks/5YXr4AGfUQpLSxtFSsKUh6,https://api.spotify.com/v1/audio-analysis/5YXr4AGfUQpLSxtFSsKUh6,spotify:track:5YXr4AGfUQpLSxtFSsKUh6,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:0lw68yx3MhKflWFqCsGkIs
Supermassive Black Hole,['Muse'],Black Holes and Revelations,"['modern rock', 'permanent wave', 'rock']",76,True,False,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,212440,4,audio_features,https://api.spotify.com/v1/tracks/3lPr8ghNDBLc2uZovNyLs9,https://api.spotify.com/v1/audio-analysis/3lPr8ghNDBLc2uZovNyLs9,spotify:track:3lPr8ghNDBLc2uZovNyLs9,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:0lw68yx3MhKflWFqCsGkIs
Stockholm Syndrome,['Muse'],Absolution,"['modern rock', 'permanent wave', 'rock']",60,True,False,0.434,0.977,2,-4.845,1,0.0786,0.00187,0.166,0.347,0.0939,128.223,297000,4,audio_features,https://api.spotify.com/v1/tracks/5VVWgWH8HFLAtM8lbttvn9,https://api.spotify.com/v1/audio-analysis/5VVWgWH8HFLAtM8lbttvn9,spotify:track:5VVWgWH8HFLAtM8lbttvn9,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:0HcHPBu9aaF1MxOiZmUQTl
